YYYY,MM,DD,DATE,CH4(ppb),SD(ppb),Source
1978,4,26,1978.3178,1479,0.7,Cape Grim air archive
1978,7,7,1978.5151,1497.1,0.7,Cape Grim air archive
1979,2,6,1979.1014,1495.1,1.8,Cape Grim air archive
1980,9,3,1980.6749,1540.1,0.4,Cape Grim air archive
1984,5,23,1984.3934,1590.9,0.5,Cape Grim air archive
1984,8,15,1984.620219,1610.76,0.1484,flask
1984,9,15,1984.704918,1608.38,3.0467,flask
1984,10,15,1984.786885,1605.23,2.4343,flask
1984,11,15,1984.871585,1602.25,2.1902,flask
1984,12,15,1984.953552,1594.74,2.7938,flask
1985,1,15,1985.038356,1586.64,2.2589,flask
1985,2,15,1985.123288,1581.96,3.1755,flask
1985,3,15,1985.2,1582.65,3.0196,flask
1985,4,15,1985.284932,1590.09,2.9227,flask
1985,5,15,1985.367123,1598.01,1.9326,flask
1985,6,15,1985.452055,1602.62,3.3025,flask
1985,7,15,1985.534247,1610.49,4.3288,flask
1985,8,15,1985.619178,1617.98,3.6167,flask
1985,9,15,1985.70411,1619.56,1.8831,flask
1985,10,15,1985.786301,1619.68,2.9741,flask
1985,11,15,1985.871233,1615.38,3.2163,flask
1985,12,15,1985.953425,1606.13,4.8148,flask
1986,1,15,1986.038356,1600.18,1.7542,flask
1986,2,15,1986.123288,1599.01,2.5049,flask
1986,3,15,1986.2,1599.85,2.6495,flask
1986,4,15,1986.284932,1605.38,2.7793,flask
1986,5,15,1986.367123,1612.79,2.7805,flask
1986,6,15,1986.452055,1618.64,2.2819,flask
1986,7,15,1986.534247,1626.14,3.2296,flask
1986,8,15,1986.619178,1631.93,1.4999,flask
1986,9,15,1986.70411,1633.48,1.5719,flask
1986,10,15,1986.786301,1632.84,1.5856,flask
1986,11,15,1986.871233,1629.56,2.3061,flask
1986,12,15,1986.953425,1622.98,3.5086,flask
1987,1,15,1987.038356,1615.24,2.5023,flask
1987,2,15,1987.123288,1611.43,1.4847,flask
1987,3,15,1987.2,1612.62,1.9199,flask
1987,4,15,1987.284932,1620.23,2.9794,flask
1987,5,15,1987.367123,1629.03,4.0566,flask
1987,6,15,1987.452055,1633.29,2.3847,flask
1987,7,15,1987.534247,1639.44,3.1357,flask
1987,8,15,1987.619178,1645.35,1.8202,flask
1987,9,15,1987.70411,1646.58,1.5338,flask
1987,10,15,1987.786301,1646.59,1.4414,flask
1987,11,15,1987.871233,1643.84,3.9115,flask
1987,12,15,1987.953425,1637.47,2.8519,flask
1988,1,15,1988.038251,1629.76,3.1201,flask
1988,2,15,1988.122951,1622.42,2.4766,flask
1988,3,15,1988.202186,1622.59,3.4147,flask
1988,4,15,1988.286885,1630.18,4.6851,flask
1988,5,15,1988.368852,1636.97,2.6031,flask
1988,6,15,1988.453552,1642.96,2.7271,flask
1988,7,15,1988.535519,1650.05,2.077,flask
1988,8,15,1988.620219,1655.05,2.3546,flask
1988,9,15,1988.704918,1658.01,2.0754,flask
1988,10,15,1988.786885,1658.13,1.9099,flask
1988,11,15,1988.871585,1652.01,3.9283,flask
1988,12,15,1988.953552,1643.74,2.5746,flask
1989,1,15,1989.038356,1641.58,2.9328,flask
1989,2,15,1989.123288,1642.66,2.5268,flask
1989,3,15,1989.2,1640.49,2.1459,flask
1989,4,15,1989.284932,1642.08,2.684,flask
1989,5,15,1989.367123,1649.83,4.0772,flask
1989,6,15,1989.452055,1657.4,1.99,flask
1989,7,15,1989.534247,1663.95,2.7392,flask
1989,8,15,1989.619178,1668.45,2.3399,flask
1989,9,15,1989.70411,1669.34,1.9482,flask
1989,10,15,1989.786301,1668.4,2.2336,flask
1989,11,15,1989.871233,1664.57,2.5778,flask
1989,12,15,1989.953425,1656.93,3.7119,flask
1990,1,15,1990.038356,1648.69,2.5247,flask
1990,2,15,1990.123288,1644.26,1.656,flask
1990,3,15,1990.2,1645.36,1.656,flask
1990,4,15,1990.284932,1650.98,2.2306,flask
1990,5,15,1990.367123,1659.25,2.9419,flask
1990,6,15,1990.452055,1666.2,3.7566,flask
1990,7,15,1990.534247,1671.13,2.0291,flask
1990,8,15,1990.619178,1674.73,2.3579,flask
1990,9,15,1990.70411,1676.43,2.4664,flask
1990,10,15,1990.786301,1676.53,1.4235,flask
1990,11,15,1990.871233,1673.81,2.2105,flask
1990,12,15,1990.953425,1665.7,3.4962,flask
1991,1,15,1991.038356,1655.75,2.4769,flask
1991,2,15,1991.123288,1652.53,1.1673,flask
1991,3,15,1991.2,1654.41,1.5368,flask
1991,4,15,1991.284932,1660.13,3.5358,flask
1991,5,15,1991.367123,1669.38,4.6924,flask
1991,6,15,1991.452055,1675.71,3.5151,flask
1991,7,15,1991.534247,1681.19,2.3472,flask
1991,8,15,1991.619178,1685.38,2.2114,flask
1991,9,15,1991.70411,1688.58,2.2038,flask
