YYYY,MM,DD,DATE,N2O(ppb),SD(ppb),Source
1978,4,26,1978.3178,299.19,0.23,Cape Grim air archive
1978,7,7,1978.5151,299.55,0.19,Cape Grim air archive
1980,9,3,1980.6749,301.66,0.07,Cape Grim air archive
1981,10,5,1981.7616,301.84,0.11,Cape Grim air archive
1984,5,23,1984.3934,302.98,0.11,Cape Grim air archive
1986,2,6,1986.1014,304.51,0.09,Cape Grim air archive
1986,11,12,1986.8658,304.41,0.11,Cape Grim air archive
1987,1,8,1987.0219,304.95,0.12,Cape Grim air archive
1987,5,28,1987.4055,305.32,0.08,Cape Grim air archive
1988,6,21,1988.4727,305.65,0.06,Cape Grim air archive
1989,5,19,1989.3808,307.06,0.04,Cape Grim air archive
1989,11,8,1989.8548,307.49,0.08,Cape Grim air archive
1990,2,16,1990.1288,307.65,0.12,Cape Grim air archive
1990,4,26,1990.3178,307.57,0.3,Cape Grim air archive
1990,5,25,1990.3973,307.78,0.06,Cape Grim air archive
1990,11,13,1990.8685,308.27,0.16,Cape Grim air archive
1990,12,18,1990.9644,308.26,0.13,Cape Grim air archive
1991,6,19,1991.4658,308.67,0.04,Cape Grim air archive
1992,1,16,1992.0437,309.44,0.07,Cape Grim air archive
1992,2,12,1992.1175,309.29,0.06,Cape Grim air archive
1992,3,18,1992.2131,309.07,0.09,Cape Grim air archive
1992,4,8,1992.2705,309.07,0.1,Cape Grim air archive
1992,8,15,1992.620219,309.133,0.3541,flask
1992,9,15,1992.704918,309.316,0.2896,flask
1992,10,15,1992.786885,309.414,0.2936,flask
1992,11,15,1992.871585,309.439,0.3235,flask
1992,12,15,1992.953552,309.475,0.103,flask
1993,1,15,1993.038356,309.361,0.2305,flask
1993,2,15,1993.123288,309.147,0.4554,flask
1993,3,15,1993.2,308.893,0.2747,flask
1993,4,15,1993.284932,308.847,0.3205,flask
1993,5,15,1993.367123,309.005,0.165,flask
1993,6,15,1993.452055,309.035,0.252,flask
1993,7,15,1993.534247,309.146,0.4142,flask
1993,8,15,1993.619178,309.387,0.3363,flask
1993,9,15,1993.70411,309.484,0.0829,flask
1993,10,15,1993.786301,309.64,0.2649,flask
1993,11,15,1993.871233,309.655,0.4153,flask
1993,12,15,1993.953425,309.46,0.0497,flask
1994,1,15,1994.038356,309.333,0.0298,flask
1994,2,15,1994.123288,309.348,0.0537,flask
1994,3,15,1994.2,309.628,0.175,flask
1994,4,15,1994.284932,309.679,0.399,flask
1994,5,15,1994.367123,309.727,0.3156,flask
1994,6,15,1994.452055,310.026,0.3263,flask
1994,7,15,1994.534247,310.102,0.2305,flask
1994,8,15,1994.619178,310.22,0.3295,flask
1994,9,15,1994.70411,310.274,0.3327,flask
1994,10,15,1994.786301,310.125,0.315,flask
1994,11,15,1994.871233,310.147,0.325,flask
1994,12,15,1994.953425,310.363,0.2814,flask
1995,1,15,1995.038356,310.469,0.3297,flask
1995,2,15,1995.123288,310.264,0.2178,flask
1995,3,15,1995.2,309.98,0.3316,flask
1995,4,15,1995.284932,309.938,0.3144,flask
1995,5,15,1995.367123,310.135,0.3369,flask
1995,6,15,1995.452055,310.217,0.2732,flask
1995,7,15,1995.534247,310.151,0.348,flask
1995,8,15,1995.619178,310.487,0.3015,flask
1995,9,15,1995.70411,310.881,0.2267,flask
1995,10,15,1995.786301,310.914,0.2213,flask
1995,11,15,1995.871233,310.973,0.2412,flask
1995,12,15,1995.953425,311.181,0.2645,flask
1996,1,15,1996.038251,311.16,0.2491,flask
1996,2,15,1996.122951,310.937,0.2777,flask
1996,3,15,1996.202186,310.887,0.1814,flask
1996,4,15,1996.286885,310.782,0.2903,flask
1996,5,15,1996.368852,310.7,0.2785,flask
1996,6,15,1996.453552,310.785,0.3166,flask
1996,7,15,1996.535519,310.979,0.3139,flask
1996,8,15,1996.620219,311.251,0.306,flask
1996,9,15,1996.704918,311.373,0.3723,flask
1996,10,15,1996.786885,311.462,0.2625,flask
1996,11,15,1996.871585,311.535,0.1947,flask
1996,12,15,1996.953552,311.736,0.198,flask
1997,1,15,1997.038356,311.921,0.14,flask
1997,2,15,1997.123288,311.887,0.2399,flask
1997,3,15,1997.2,311.883,0.3691,flask
1997,4,15,1997.284932,311.699,0.2857,flask
1997,5,15,1997.367123,311.684,0.3093,flask
1997,6,15,1997.452055,311.914,0.3196,flask
1997,7,15,1997.534247,311.899,0.3426,flask
1997,8,15,1997.619178,312.128,0.2535,flask
1997,9,15,1997.70411,312.524,0.2264,flask
1997,10,15,1997.786301,312.693,0.3312,flask
1997,11,15,1997.871233,312.797,0.1318,flask
1997,12,15,1997.953425,312.869,0.2539,flask
1998,1,15,1998.038356,312.881,0.2925,flask
1998,2,15,1998.123288,312.77,0.2422,flask
1998,3,15,1998.2,312.566,0.2227,flask
1998,4,15,1998.284932,312.481,0.2534,flask
1998,5,15,1998.367123,312.517,0.2922,flask
1998,6,15,1998.452055,312.623,0.3698,flask
1998,7,15,1998.534247,312.943,0.2347,flask
1998,8,15,1998.619178,313.27,0.2109,flask
1998,9,15,1998.70411,313.414,0.4104,flask
1998,10,15,1998.786301,313.471,0.3132,flask
1998,11,15,1998.871233,313.571,0.2655,flask
1998,12,15,1998.953425,313.743,0.1649,flask
