Temperature - (Celsius), Year, Statistics, Country, ISO3
27.7179,1901, Jan Average, Australia, AUS
27.3591,1901, Feb Average, Australia, AUS
24.6881,1901, Mar Average, Australia, AUS
21.3057,1901, Apr Average, Australia, AUS
17.8553,1901, May Average, Australia, AUS
13.7412,1901, Jun Average, Australia, AUS
12.5582,1901, Jul Average, Australia, AUS
14.9688,1901, Aug Average, Australia, AUS
19.6516,1901, Sep Average, Australia, AUS
22.0715,1901, Oct Average, Australia, AUS
27.1303,1901, Nov Average, Australia, AUS
28.4127,1901, Dec Average, Australia, AUS
27.7288,1902, Jan Average, Australia, AUS
27.1343,1902, Feb Average, Australia, AUS
25.4857,1902, Mar Average, Australia, AUS
21.8279,1902, Apr Average, Australia, AUS
17.8133,1902, May Average, Australia, AUS
14.4688,1902, Jun Average, Australia, AUS
13.7227,1902, Jul Average, Australia, AUS
15.1228,1902, Aug Average, Australia, AUS
19.2129,1902, Sep Average, Australia, AUS
22.711,1902, Oct Average, Australia, AUS
26.0501,1902, Nov Average, Australia, AUS
26.3607,1902, Dec Average, Australia, AUS
27.9099,1903, Jan Average, Australia, AUS
27.2125,1903, Feb Average, Australia, AUS
25.7614,1903, Mar Average, Australia, AUS
21.4205,1903, Apr Average, Australia, AUS
17.0346,1903, May Average, Australia, AUS
14.217,1903, Jun Average, Australia, AUS
13.1683,1903, Jul Average, Australia, AUS
15.334,1903, Aug Average, Australia, AUS
18.4142,1903, Sep Average, Australia, AUS
21.7391,1903, Oct Average, Australia, AUS
24.7049,1903, Nov Average, Australia, AUS
25.4148,1903, Dec Average, Australia, AUS
26.4469,1904, Jan Average, Australia, AUS
25.8842,1904, Feb Average, Australia, AUS
24.1294,1904, Mar Average, Australia, AUS
21.5191,1904, Apr Average, Australia, AUS
17.5258,1904, May Average, Australia, AUS
13.8459,1904, Jun Average, Australia, AUS
13.5003,1904, Jul Average, Australia, AUS
15.2527,1904, Aug Average, Australia, AUS
18.1146,1904, Sep Average, Australia, AUS
21.6648,1904, Oct Average, Australia, AUS
25.2258,1904, Nov Average, Australia, AUS
27.6538,1904, Dec Average, Australia, AUS
28.1628,1905, Jan Average, Australia, AUS
26.1995,1905, Feb Average, Australia, AUS
25.2871,1905, Mar Average, Australia, AUS
21.9331,1905, Apr Average, Australia, AUS
18.2412,1905, May Average, Australia, AUS
14.34,1905, Jun Average, Australia, AUS
13.3145,1905, Jul Average, Australia, AUS
14.5867,1905, Aug Average, Australia, AUS
