year,description ,state,area burned ha,area burned acres,fatalities,homes destroyed,other buildings destroyed,cattle_sheep,cattle_general,approx_value_loss,est_value_lives,est_value_home,est_value_public_buildings,est_value_sheep,est_value_livestock,other damanged
1851,Black Thursday bushfires,Victoria,5000000.00,12000000.00,12.00,0.00,0.00,1000000.00,2000.00,,,,,,,"1 million sheep, thousands of cattle"
1895,Upper Blue Mountains fires,New South Wales,150.00,370.00,0.00,12.00,1.00,,,,,,,,,"Main Western Railway Line at Mount Victoria, sheds"
1898,Red Tuesday bushfires,Victoria,260000.00,640000.00,12.00,0.00,2000.00,,,,,,,,,
1926,1926 bushfires,Victoria,390000.00,960000.00,60.00,1000.00,0.00,,,,,,,,,
1939,Black Friday bushfires,Victoria,2000000.00,4900000.00,71.00,3700.00,0.00,,,,,,,,,
1944,1944 Victorian bushfires,Victoria,1000000.00,2500000.00,20.00,500.00,0.00,,,,,,,,,
1944,1944 Blue Mountains bushfire,New South Wales,,,2.00,150.00,0.00,,,,,,,,,
1952,1951–52 bushfires,Victoria,4000000.00,9900000.00,11.00,0.00,0.00,,,,,,,,,
1955,Black Sunday bushfires,South Australia,160000.00,395000.00,2.00,40.00,0.00,,,,,,,,,
1957,"1957 Grose Valley bushfire, Blue Mountains",New South Wales,2000000.00,,4.00,158.00,12.00,,,"£1,000,000",,,,,,"many businesses, shops, schools, churches and a hospital "
1957,"1957 Leura bushfire, Blue Mountains",New South Wales,,,0.00,,0.00,,,,,,,,,
1961,1961 Western Australian bushfires,Western Australia,1800000.00,4400000.00,0.00,160.00,0.00,,,,,,,,,
1962,1962 Victorian bushfires,Victoria,,,32.00,450.00,0.00,,,,,,,,,
1965,1965 Gippsland bushfires,Victoria,315000.00,780000.00,0.00,20.00,60.00,,4000.00,,,,,,,"4,000 livestock"
1965,Southern Highlands bushfires,New South Wales,251000.00,620000.00,3.00,59.00,0.00,,,,,,,,,
1967,Black Tuesday bushfires,Tasmania,264000.00,650000.00,62.00,1293.00,0.00,,,14000000.00,,,,,,
1968,1968-69 Killarney Top Springs bushfires,Northern Territory,40000000.00,99000000.00,0.00,0.00,0.00,,,,,,,,,
1968,1968 Blue Mountains Bushfire,New South Wales,1500000.00,,14.00,150.00,5.00,,,3000000.00,,,,,,"three churches, a shopping centre and a hospital"
1969,1969 bushfires,Victoria,250000.00,,22.00,230.00,21.00,,12000.00,,,,,,,
1970,1969-70 Dry River-Victoria River fire,Northern Territory,45000000.00,110000000.00,0.00,0.00,0.00,,,,,,,,,
